City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mizdah,31.45,12.98,89.01,21,0,15.03,LY,1600443375
araouane,18.9,-3.53,93.34,39,76,17.43,ML,1600443188
mogadishu,2.04,45.34,80.6,69,20,16.11,SO,1600443376
santa maria,-29.68,-53.81,75.2,60,75,4.7,BR,1600443376
klaksvik,62.23,-6.59,53.6,76,0,10.29,FO,1600443376
savinka,50.08,47.1,64.04,32,81,13.35,RU,1600443377
ponta delgada,37.73,-25.67,71.6,68,40,14.99,PT,1600443199
qandala,11.47,49.87,88.38,60,3,1.9,SO,1600443377
pyaozerskiy,65.83,31.17,46.53,83,98,12.1,RU,1600443377
iqaluit,63.75,-68.51,37.4,74,75,18.34,CA,1600443306
bereda,43.27,-7.54,70.0,2,28,1.03,ES,1600443378
alcains,39.92,-7.46,73.99,59,100,17.13,PT,1600443378
sao joao da barra,-21.64,-41.05,86.0,51,0,16.53,BR,1600443378
mecca,21.43,39.83,92.66,32,84,6.26,SA,1600443379
nortelandia,-14.45,-56.8,112.69,10,58,2.48,BR,1600443379
bambous virieux,-20.34,57.76,72.0,64,40,6.93,MU,1600443379
port-gentil,-0.72,8.78,84.2,70,75,13.56,GA,1600443379
misratah,32.38,15.09,81.27,59,0,10.13,LY,1600443380
awjilah,29.11,21.29,92.32,23,0,8.79,LY,1600443380
artigas,-30.4,-56.47,72.72,57,0,6.69,UY,1600443380
comodoro rivadavia,-45.87,-67.5,48.2,36,75,19.46,AR,1600443380
teguldet,57.31,88.17,46.42,89,41,8.52,RU,1600443381
cidreira,-30.18,-50.21,72.32,69,0,2.48,BR,1600443381
hvide sande,56.0,8.13,60.01,71,6,1.01,DK,1600443381
husavik,66.04,-17.34,53.6,54,40,9.17,IS,1600443381
carutapera,-1.2,-46.02,87.78,58,8,11.23,BR,1600443381
mazagao,-0.12,-51.29,91.4,59,40,11.41,BR,1600443382
tukrah,32.53,20.58,78.55,73,1,10.8,LY,1600443382
havre-saint-pierre,50.23,-63.6,47.89,64,100,15.99,CA,1600443382
bardiyah,31.76,25.09,78.35,74,0,12.88,LY,1600443383
wattegama,6.8,81.48,77.0,100,75,9.17,LK,1600443383
ivanino,51.64,35.58,51.01,76,75,13.42,RU,1600443383
gornopravdinsk,60.05,69.9,42.73,91,98,7.74,RU,1600443383
puri,19.8,85.85,86.0,84,40,3.36,IN,1600443383
kerchevskiy,59.95,56.29,42.17,98,100,4.65,RU,1600443384
ust-tarka,55.57,75.7,48.65,85,100,11.74,RU,1600443384
porbandar,21.64,69.61,83.19,82,100,9.1,IN,1600443384
margate,51.38,1.39,66.0,65,0,5.99,GB,1600443384
sao filipe,14.9,-24.5,80.83,81,32,11.5,CV,1600443384
cayenne,4.93,-52.33,89.6,52,75,9.17,GF,1600443385
gairo,39.85,9.5,81.0,50,18,5.21,IT,1600443385
vavozh,56.78,51.93,54.75,64,100,10.98,RU,1600443385
nizhniy odes,63.64,54.86,37.36,79,72,3.42,RU,1600443385
touros,-5.2,-35.46,84.2,66,75,16.11,BR,1600443386
catanduva,-21.14,-48.97,91.4,19,15,6.93,BR,1600443386
calama,-22.47,-68.93,68.0,8,0,5.82,CL,1600443386
chapais,49.78,-74.85,41.0,65,90,9.17,CA,1600443162
marawi,8.0,124.29,75.99,91,7,5.99,PH,1600443387
padre bernardo,-15.35,-48.5,103.1,12,25,3.94,BR,1600443387
soubre,5.79,-6.61,83.26,67,65,5.14,CI,1600443387
iguape,-24.71,-47.56,77.34,60,69,6.58,BR,1600443387
tahoua,14.89,5.27,89.6,55,20,6.93,NE,1600443388
sinnamary,5.38,-52.95,86.34,62,7,13.98,GF,1600443388
tashtagol,52.77,87.89,46.8,87,75,7.52,RU,1600443388
alcala la real,37.46,-3.92,78.8,47,40,11.41,ES,1600443389
mirnyy,62.54,113.96,44.6,82,20,2.24,RU,1600443389
thinadhoo,0.53,72.93,83.46,76,34,8.25,MV,1600443389
kashi,39.45,75.98,71.6,26,40,15.66,CN,1600443389
ilulissat,69.22,-51.1,33.8,59,75,4.7,GL,1600443389
virginia beach,36.85,-75.98,71.01,98,100,1.99,US,1600443335
henties bay,-22.12,14.28,57.99,84,1,7.0,,1600443390
morondava,-20.28,44.28,76.82,85,0,12.59,MG,1600443390
coihaique,-45.58,-72.07,42.8,48,75,9.17,CL,1600443344
grand-lahou,5.14,-5.02,77.74,78,33,9.46,CI,1600443390
bentiu,9.23,29.83,82.94,62,1,1.1,SS,1600443391
maku,39.29,44.45,74.5,22,0,2.35,IR,1600443391
imeni zhelyabova,58.95,36.6,44.89,89,100,10.74,RU,1600443391
mobaye,4.32,21.18,79.47,84,87,2.84,CF,1600443391
clyde river,70.47,-68.59,33.8,86,75,16.11,CA,1600443392
surab,28.49,66.26,71.82,21,1,10.04,PK,1600443392
rawson,-43.3,-65.1,52.16,41,38,21.79,AR,1600443392
kjopsvik,68.1,16.37,48.99,87,75,14.99,NO,1600443392
buraydah,26.33,43.98,100.4,10,0,10.29,SA,1600443393
salamiyah,35.01,37.05,80.02,45,0,15.05,SY,1600443393
havoysund,71.0,24.66,46.4,93,75,18.34,NO,1600443393
cozumel,20.51,-86.95,87.8,74,75,6.93,MX,1600443393
grand gaube,-20.01,57.66,72.0,64,91,8.01,MU,1600443394
sicuani,-14.27,-71.23,57.7,39,76,8.52,PE,1600443394
ambilobe,-13.2,49.05,74.55,67,61,4.12,MG,1600443394
danane,7.26,-8.15,84.7,63,47,3.6,CI,1600443394
uaua,-9.84,-39.48,91.51,20,0,11.7,BR,1600443394
werda,-25.27,23.28,84.15,13,0,5.39,BW,1600443395
dogondoutchi,13.64,4.03,96.15,34,43,2.73,NE,1600443395
korla,41.76,86.15,74.01,21,100,19.91,CN,1600443395
cacu,-18.56,-51.13,100.15,16,18,4.94,BR,1600443395
antofagasta,-23.65,-70.4,62.6,59,20,5.82,CL,1600443395
muros,42.78,-9.06,73.0,65,13,4.0,ES,1600443396
nicoya,10.15,-85.45,80.6,88,40,3.36,CR,1600443396
lena,43.1,-5.73,71.01,60,36,2.35,ES,1600443396
nara,34.69,135.8,75.99,41,100,5.86,JP,1600443396
aguimes,27.91,-15.45,80.6,61,20,24.16,ES,1600443397
kitgum,3.28,32.89,77.76,63,69,5.01,UG,1600443397
sarakhs,36.54,61.16,75.2,24,0,4.7,IR,1600443397
sofiyivka,48.05,33.87,59.0,41,75,15.66,UA,1600443397
sao felix do xingu,-6.64,-51.99,106.84,19,40,3.31,BR,1600443385
hofn,64.25,-15.21,53.6,66,20,5.82,IS,1600443397
arlit,18.74,7.39,104.4,11,30,16.53,NE,1600443398
jijiga,9.35,42.8,71.78,60,84,5.79,ET,1600443398
koslan,63.46,48.9,38.41,75,100,5.35,RU,1600443398
santa maria da vitoria,-13.39,-44.19,105.44,12,7,3.74,BR,1600443399
altamira,-3.2,-52.21,91.4,59,75,5.82,BR,1600443363
rondonopolis,-16.47,-54.64,109.76,11,4,3.13,BR,1600443399
bushehr,28.97,50.84,93.2,56,0,4.05,IR,1600443399
krasnoselkup,65.7,82.47,49.26,87,99,18.77,RU,1600443399
walvis bay,-22.96,14.51,64.4,59,13,12.75,,1600443400
saldanha,-33.01,17.94,66.2,68,0,12.75,ZA,1600443400
impfondo,1.64,18.07,83.71,67,72,3.22,CG,1600443400
muisne,0.6,-80.03,78.8,83,75,6.93,EC,1600443400
gaspar,-26.93,-48.96,84.0,73,0,6.93,BR,1600443279
san jose,37.34,-121.89,66.2,77,75,4.7,US,1600443169
quatre cocos,-20.21,57.76,72.0,64,40,6.93,MU,1600443401
keti bandar,24.14,67.45,83.53,78,77,14.67,PK,1600443401
sabha,27.04,14.43,93.18,11,0,9.44,LY,1600443401
souillac,-20.52,57.52,71.6,64,40,6.93,MU,1600443401
masallatah,32.62,14.0,79.84,51,0,8.3,LY,1600443402
begunitsy,59.59,29.32,51.8,62,20,15.66,RU,1600443402
chimbote,-9.09,-78.58,66.85,67,69,9.01,PE,1600443402
cabedelo,-6.98,-34.83,84.2,66,40,13.87,BR,1600443402
bud,39.45,-86.18,60.01,58,1,13.87,US,1600443402
vila velha,-20.33,-40.29,86.0,51,5,14.99,BR,1600443403
san juan,-31.54,-68.54,72.46,20,0,16.87,AR,1600443117
zaozerne,45.16,33.28,66.96,45,41,14.32,UA,1600443403
jeremoabo,-10.07,-38.48,92.5,21,6,9.62,BR,1600443403
chulym,55.1,80.96,45.93,90,29,10.51,RU,1600443404
punta arenas,-53.15,-70.92,39.2,60,40,27.51,CL,1600443404
vestmannaeyjar,63.44,-20.27,50.0,71,75,17.22,IS,1600443404
bell ville,-32.63,-62.69,75.0,21,0,5.99,AR,1600443404
zwedru,6.07,-8.13,84.18,65,61,4.41,LR,1600443405
bekhtery,46.25,32.29,66.2,42,32,15.66,UA,1600443405
nuuk,64.18,-51.72,41.0,80,40,10.29,GL,1600443405
oktyabrskoye,43.06,44.74,71.6,60,0,6.71,RU,1600443405
kemi,65.86,24.82,57.2,47,0,12.75,FI,1600443406
porto novo,6.5,2.6,82.4,74,40,13.87,BJ,1600443406
roald,62.58,6.13,54.0,81,75,10.29,NO,1600443406
garowe,8.41,48.48,90.9,33,22,14.9,SO,1600443406
brae,60.4,-1.35,53.6,100,75,4.7,GB,1600443406
adjumani,3.38,31.79,77.02,77,61,3.69,UG,1600443407
kasongo-lunda,-6.47,16.82,89.42,42,93,2.55,CD,1600443407
ironton,38.54,-82.68,64.99,77,75,4.7,US,1600443407
dingle,11.0,122.67,75.96,88,100,5.32,PH,1600443407
teya,60.38,92.63,50.72,82,100,7.67,RU,1600443407
nalut,30.33,10.85,92.66,12,0,3.98,LY,1600443408
belmonte,-15.86,-38.88,80.6,57,40,17.22,BR,1600443408
telhara,21.03,76.84,80.82,84,100,5.5,IN,1600443408
presidencia roque saenz pena,-26.79,-60.44,89.56,22,0,3.53,AR,1600443408
faxinal,-24.0,-51.32,81.54,40,35,10.36,BR,1600443409
alta floresta,-9.88,-56.09,95.0,44,3,5.82,BR,1600443409
reconquista,-29.15,-59.65,80.28,33,0,4.74,AR,1600443409
oriximina,-1.77,-55.87,99.73,30,5,6.4,BR,1600443409
dondukovskaya,44.88,40.36,72.5,60,93,16.51,RU,1600443410
aanekoski,62.69,25.82,59.0,67,75,11.41,FI,1600443410
primero de marzo,-25.15,-56.93,82.4,45,0,4.7,PY,1600443410
mabamba,-3.6,30.5,81.07,25,17,4.81,TZ,1600443410
ullapool,57.9,-5.16,64.0,78,28,4.0,GB,1600443411
port said,31.26,32.28,86.0,74,0,13.87,EG,1600443411
ailigandi,9.23,-78.02,84.09,73,8,3.51,PA,1600443411
santa vitoria do palmar,-33.52,-53.37,68.85,62,0,8.48,BR,1600443411
kutum,14.2,24.67,87.82,33,74,13.29,SD,1600443412
shu,43.6,73.76,57.0,57,100,5.99,KZ,1600443412
viedma,-40.81,-63.0,57.0,40,7,8.01,AR,1600443412
meulaboh,4.14,96.13,77.0,83,100,2.26,ID,1600443412
pembroke,45.82,-77.12,51.8,53,1,6.93,CA,1600443412
veraval,20.9,70.37,82.26,80,88,6.15,IN,1600443413
romans-sur-isere,45.05,5.06,87.8,35,61,21.92,FR,1600443413
farafangana,-22.82,47.83,70.81,76,0,10.78,MG,1600443413
zaysan,47.47,84.87,50.74,62,6,8.05,KZ,1600443413
richards bay,-28.78,32.04,73.44,76,0,11.56,ZA,1600443413
moose factory,51.26,-80.61,44.6,52,75,16.11,CA,1600443414
tabory,58.52,64.55,43.32,93,100,5.37,RU,1600443414
usinsk,65.99,57.53,36.45,84,53,9.04,RU,1600443414
mayor pablo lagerenza,-19.93,-60.77,97.32,28,84,5.82,PY,1600443414
barsovo,61.17,73.17,46.4,75,71,13.42,RU,1600443415
andenes,69.31,16.12,46.4,81,75,29.97,NO,1600443415
shelburne,44.08,-80.2,55.0,58,20,8.05,CA,1600443178
faya,18.39,42.45,80.6,10,20,9.17,SA,1600443415
mazamari,-11.33,-74.53,76.75,69,93,1.88,PE,1600443415
maltahohe,-24.83,16.98,83.55,10,0,15.75,,1600443416
sernovodsk,43.31,45.16,77.0,50,0,4.47,RU,1600443416
lodja,-3.48,23.43,82.89,64,87,1.14,CD,1600443416
jeremie,18.65,-74.12,86.61,63,0,3.65,HT,1600443416
taltal,-25.4,-70.48,62.42,59,33,4.85,CL,1600443416
jodar,37.84,-3.35,84.99,32,14,18.97,ES,1600443416
juazeiro,-9.41,-40.5,89.6,31,0,9.17,BR,1600443417
itaituba,-4.28,-55.98,93.2,59,20,5.3,BR,1600443417
yar-sale,66.83,70.83,46.38,92,87,9.04,RU,1600443417
pacasmayo,-7.4,-79.57,66.54,71,29,10.76,PE,1600443417
koutiala,12.39,-5.46,82.65,74,75,9.48,ML,1600443418
albanel,48.88,-72.45,48.2,49,20,11.41,CA,1600443418
paamiut,61.99,-49.67,40.69,74,100,30.18,GL,1600443418
liwale,-9.77,37.93,77.95,46,15,4.32,TZ,1600443418
porto santo,33.07,-16.34,77.0,57,20,16.11,PT,1600443418
carballo,43.21,-8.69,73.99,73,20,8.05,ES,1600443419
tazovskiy,67.47,78.7,45.59,88,87,8.84,RU,1600443419
bambui,-20.01,-45.98,98.37,15,0,4.56,BR,1600443419
santa cruz,-17.8,-63.17,80.6,51,75,8.05,BO,1600443419
anloga,5.79,0.9,84.2,70,20,11.41,GH,1600443419
yarkovo,57.4,67.08,45.36,84,100,6.53,RU,1600443420
ouallam,14.32,2.09,93.31,40,45,2.84,NE,1600443420
montevideo,-34.83,-56.17,66.99,34,7,13.87,UY,1600443385
natal,-5.79,-35.21,84.2,65,75,18.34,BR,1600443420
sakaraha,-22.9,44.53,82.65,16,0,6.46,MG,1600443420
turayf,31.67,38.66,100.4,14,22,12.75,SA,1600443421
pavlodar,52.3,76.95,55.4,71,75,8.95,KZ,1600443212
castro,-24.79,-50.01,81.14,38,12,10.58,BR,1600443294
ginir,7.13,40.7,68.97,57,80,7.36,ET,1600443421
diamantino,-14.41,-56.45,109.27,11,49,2.39,BR,1600443422
mariental,-24.63,17.97,90.27,8,0,14.0,,1600443422
san andres,12.58,-81.7,86.0,74,20,9.17,CO,1600443422
lugazi,0.38,32.92,71.69,54,42,1.7,UG,1600443422
kudahuvadhoo,2.67,72.89,82.98,81,95,11.05,MV,1600443422
the valley,18.22,-63.06,89.6,62,20,9.17,AI,1600443410
moyale,3.52,39.06,72.93,55,1,8.37,KE,1600443423
alta,69.97,23.27,50.0,71,75,27.51,NO,1600443296
sambava,-14.27,50.17,71.92,84,70,12.68,MG,1600443423
bombay,19.01,72.85,87.01,88,90,4.7,IN,1600443423
san lazaro,18.04,-88.66,87.8,74,40,9.17,BZ,1600443424
kilindoni,-7.91,39.67,77.05,79,0,15.7,TZ,1600443424
ancud,-41.87,-73.82,49.84,58,6,13.09,CL,1600443424
palmeira,-25.43,-50.01,78.76,45,2,6.71,BR,1600443424
pensacola,30.42,-87.22,84.2,62,1,8.05,US,1600443424
riviere-au-renard,49.0,-64.4,48.2,45,75,3.36,CA,1600443425
gurmatkal,16.87,77.4,73.85,93,100,10.94,IN,1600443425
melfi,41.0,15.65,87.01,47,5,24.16,IT,1600443425
kruisfontein,-34.0,24.73,64.0,68,53,7.0,ZA,1600443425
talnakh,69.49,88.4,50.0,87,40,13.42,RU,1600443425
staryy nadym,65.61,72.68,45.9,92,100,11.74,RU,1600443426
kothi,24.75,80.78,87.44,56,95,4.97,IN,1600443426
micheweni,-4.97,39.83,77.07,82,39,13.56,TZ,1600443426
chotila,22.42,71.18,82.08,77,100,7.65,IN,1600443426
locri,38.24,16.26,82.4,61,20,16.11,IT,1600443427
dalvik,65.97,-18.53,53.6,54,40,9.17,IS,1600443427
svetlyy,54.67,20.13,61.0,59,0,13.42,RU,1600443427
kalemie,-5.95,29.19,81.0,44,6,2.1,CD,1600443427
puerto ayacucho,5.66,-67.62,87.8,66,40,6.93,VE,1600443428
agde,43.31,3.48,75.2,88,100,10.29,FR,1600443428
abnub,27.27,31.15,109.4,22,0,6.93,EG,1600443428
ferreira do alentejo,38.05,-8.03,68.0,82,40,19.46,PT,1600443428
nouadhibou,20.93,-17.03,78.91,71,0,15.61,MR,1600443428
bajil,15.06,43.29,93.7,48,2,7.45,YE,1600443429
butterworth,5.4,100.36,77.0,94,20,3.36,MY,1600443429
mana,5.66,-53.78,87.37,59,7,12.17,GF,1600443429
itarema,-2.92,-39.92,87.28,52,2,17.98,BR,1600443429
kibaya,-5.3,36.57,68.65,40,3,8.72,TZ,1600443430
mangit,40.6,70.96,53.6,81,90,11.41,UZ,1600443430
emborion,40.48,21.55,72.0,52,100,10.29,GR,1600443430
pemba,-12.97,40.52,80.6,65,20,11.41,MZ,1600443430
sorland,67.67,12.69,48.2,76,40,36.91,NO,1600443430
canto do buriti,-8.11,-42.94,102.92,19,0,4.88,BR,1600443431
mosquera,4.71,-74.23,66.2,55,20,4.7,CO,1600443287
magnor,59.95,12.2,73.99,49,0,8.05,SE,1600443431
leo,11.1,-2.1,81.7,73,73,3.96,BF,1600443431
north myrtle beach,33.82,-78.68,78.8,83,90,8.05,US,1600443184
marquette,46.53,-87.63,53.01,35,7,4.0,US,1600443421
benguela,-12.58,13.41,71.6,83,75,5.82,AO,1600443432
la mata,8.08,-80.88,83.1,78,96,8.16,PA,1600443432
luba,3.46,8.55,82.4,78,75,6.93,GQ,1600443432
kango,0.19,10.1,76.55,90,100,5.35,GA,1600443432
kochubey,44.39,46.58,71.69,76,25,10.27,RU,1600443433
hit,33.64,42.83,96.26,14,0,9.48,IQ,1600443433
raudeberg,61.99,5.14,53.01,93,66,6.91,NO,1600443433
ambovombe,-25.17,46.08,71.02,80,0,7.61,MG,1600443433
bocanda,7.06,-4.5,83.55,70,29,3.94,CI,1600443433
alexandria,31.22,29.96,87.8,66,0,13.87,EG,1600443434
kovdor,67.57,30.48,41.74,88,94,10.29,RU,1600443434
bayan,46.08,127.4,57.0,89,0,6.76,CN,1600443434
malartic,48.13,-78.13,42.8,54,40,8.05,CA,1600443434
lennestadt,51.12,8.07,71.01,38,0,5.99,DE,1600443434
casa nova,-9.42,-41.13,89.6,31,0,9.17,BR,1600443435
vagay,57.94,69.02,45.37,85,100,11.59,RU,1600443435
paracatu,-17.22,-46.87,100.83,14,20,3.4,BR,1600443435
willowmore,-33.29,23.49,66.38,39,49,9.86,ZA,1600443435
hornepayne,49.21,-84.77,46.69,51,69,6.38,CA,1600443435
bernay,49.17,0.67,81.0,50,90,5.01,FR,1600443436
nea malgara,40.61,22.68,81.0,62,98,1.01,GR,1600443436
dire dawa,9.59,41.87,78.58,47,93,9.17,ET,1600443436
muyezerskiy,63.93,31.65,43.36,91,100,13.87,RU,1600443436
coquimbo,-29.95,-71.34,51.8,100,90,10.29,CL,1600443437
acarau,-2.89,-40.12,88.97,47,0,17.74,BR,1600443222
abha,18.22,42.51,80.6,10,20,9.17,SA,1600443437
dudinka,69.41,86.18,50.0,87,40,13.42,RU,1600443437
springbok,-29.66,17.89,66.92,35,1,9.6,ZA,1600443437
necochea,-38.55,-58.74,57.99,40,0,8.01,AR,1600443412
timra,62.49,17.33,62.01,47,26,17.22,SE,1600443437
kwekwe,-18.93,29.81,79.68,17,0,7.99,ZW,1600443438
tessalit,20.2,1.01,84.61,49,61,21.65,ML,1600443438
ostrovnoy,68.05,39.51,40.98,81,100,21.99,RU,1600443438
denia,38.84,0.11,78.01,70,95,8.01,ES,1600443439
mantua,45.17,10.78,82.99,48,0,3.0,IT,1600443439
arauca,7.08,-70.76,87.8,66,22,3.36,CO,1600443439
sehithwa,-20.47,22.72,85.89,25,84,5.82,BW,1600443439
